Cell ID,Remaining Useful Life,initial discharge capacity,final discharge capacity,discharge cap. slope,dis. cap. intercept, min. resistance,Delta resistance,Delta_Variance
0,2.408239965,0.9980701804000001,0.998511374,-6.97E-05,1.00258735,0.015569012,5.33E-05, 1.744552024975597e-05
1,2.176091259,0.9968463778000001,0.977802575,-0.000414016,0.994995931,0.015582033,-0.000101843, 0.00011165582861956459
2,2.328379603,0.9948048592000001,0.982923865,-0.00020631,0.992807514,0.015719971,-8.12E-06, 3.801349284228918e-05
3,2.201397124,1.0109645128,1.002828479,-0.000415671,1.012733435,0.01787968,-0.000253588, 0.00017786096582144467
4,2.227886705,1.0038024187,0.979887545,-0.000574305,1.0040013,0.017068872,-0.000221292, 0.00022735059049587794
5,2.686636269,1.0155383348,1.009452581,-9.65E-05,1.014305741,0.015541355,2.69E-06, 8.358447829407685e-06
6,2.695481676,1.0154658556,1.010427713,-0.000207487,1.014510839,0.015817264,0.000216814, 4.17443470614075e-06
7,2.423245874,0.9516304731,1.045389175,0.000138581,1.041574976,0.016890129,-1.14E-05, 0.0051189331489005655
8,2.08278537,0.9833569527,0.975996196,-0.000747738,1.006296118,0.017939137,-0.000720262, 0.000428772270268312
9,2.152288344,1.011693716,0.972793698,-0.002157046,1.027727651,0.017482691,-0.000226187, 0.00041688293936197545
10,2.477121255,1.0054928064,0.991042435,-0.000261287,1.007220561,0.014867117,-0.000115523, 4.420411568540246e-05
11,2.127104798,0.9936984777000001,0.959501505,-0.000739951,1.01338609,0.016203731,-2.69E-05, 0.00030735096117424736
12,2.378397901,1.0011678934,1.026239038,-0.000268919,1.0304507,0.017200414,-0.000212114, 2.981169763890517e-05
13,2.181843588,1.0103033781,0.980368972,-0.000679328,1.013967507,0.017357536,-0.000319257, 0.0003439700420948819
14,2.201397124,1.0117958784,0.989814043,-0.00029846,1.01272339,0.015552187,-0.000137395, 0.0001575007165015629
15,2.217483944,0.9954193234000001,0.509467423,-0.000798324,1.020114595,0.017268008,1.25E-05, 0.0020684907654415123
16,2.201397124,1.0008980036,0.975206196,-0.00048731,0.996934391,0.018456055,-0.000162797, 0.00014766572551369163
17,2.718501689,1.0166562796,1.009140372,-6.99E-05,1.014589377,0.015520076,2.82E-05, 2.276636830201234e-06
18,2.56937391,0.9775859714,0.969208181,-0.000206818,0.977776717,0.016954249,0.000124305, 1.2906891895608205e-05
19,2.064457989,1.00955832,0.957161665,-0.000609881,1.004816645,0.017848993,-0.000663223, 0.0005934272900273144
20,2.193124598,1.0197914839,0.974264503,-0.000514358,1.005300856,0.017909948,-0.00047639, 0.00026050921318171563
21,2.264817823,1.0224426985,1.004031539,-0.000380337,1.016837309,0.016093647,-0.000235079, 0.0001235227741645055
22,2.305351369,1.030654788,1.00795567,-0.000415475,1.03376742,0.017680332,-0.000143461, 0.00017352571819001733
23,2.255272505,1.0105350018,0.97653079,-0.000496864,1.013120151,0.017298564,4.63E-05, 0.0002231475135088416
24,2.33243846,1.0256726742,0.981910884,-0.000491017,1.013958471,0.01762145,-4.96E-05, 0.00017748315176387228
25,2.285557309,1.0214015245,1.00369072,-0.000386176,1.026326765,0.017019384,-0.000405885, 0.0001612848896461135
26,2.426511261,0.9139578938,1.026307106,0.000260289,1.0415037,0.017067576,-7.71E-05, 0.010393278476434814
27,2.025305865,1.0263023376,0.969063938,-0.001240944,1.020247139,0.018258767,-0.000365855, 0.0007427125159754789
28,2.444044796,1.0136862993,1.008066416,-0.000225136,1.014615572,0.015769348,-7.28E-05, 4.723439492636331e-05
29,2.041392685,1.0140552521,0.961040795,-0.001139897,1.017428247,0.018117553,-0.000287361, 0.0007274399129079656
30,2.29666519,1.0108393431,1.006014705,-0.000469325,1.020491257,0.01692383,-7.55E-05, 0.00014593738585223185
31,2.644438589,0.9920710325000001,0.997776568,4.26E-05,0.995099395,0.014800457,0.003742346, 0.00012135905075026249
32,2.004321374,1.0184582471999999,0.961126506,-0.001230034,1.012900984,0.018041965,-0.000729818, 0.0009359985512606905
33,2.075546961,1.0155827999,0.923576891,-0.001060548,1.015235606,0.017734259,-0.000867633, 0.0004793696365183207
34,2.238046103,1.0095206499,0.991219997,-0.000366972,1.007764568,0.015860559,-8.92E-05, 0.00012906971161750857
35,2.093421685,1.0123522282,0.964787722,-0.000713124,1.006060491,0.017474925,-0.000643555, 0.00040903727382889067
36,2.292256071,1.0193585157,1.00277698,-0.000458779,1.014461625,0.016189151,-8.79E-05, 0.00010150829796890235
37,2.08278537,0.9865752459,0.976378739,-0.00061164,1.004161995,0.017454274,-0.000662586, 0.0004886022881370656
38,2.320146286,0.9941657782000001,0.968726933,0.001276196,0.937188783,0.01724986,-0.000235438, 0.0001415037628765206
39,2.23299611,1.0250688791,0.998065114,-0.000456513,1.021704363,0.017264044,-0.000177152, 9.47189207477187e-05
40,2.592176757,1.0065228939,0.986231685,-0.000252277,1.001331125,0.014121732,-0.000133604, 5.742598205545841e-05
41,2.008600172,1.010316968,0.967514038,-0.001056781,1.008541354,0.017729659,-0.000644781, 0.0008875469786036755
42,2.641474111,1.0101693869,0.9977898,-0.000145961,1.008255727,0.015369697,2.49E-05, 6.190024912766167e-06
43,2.322219295,0.987416327,0.985889852,-0.00025281,1.005723933,0.0155138,-9.33E-05, 7.193651454407301e-05
44,2.328379603,1.0128674507,0.990660846,-0.000315068,1.010342241,0.015356612,-5.47E-05, 6.379315880481346e-05
45,2.342422681,0.9648548365,1.050900579,-0.000146015,1.051262042,0.017265126,7.81E-05, 0.013245946893208465
46,2.247973266,1.0283759832,0.987814963,-0.000675242,1.027172633,0.017308738,-0.000119366, 0.0003006699493850413
47,2.247973266,1.0160763264,0.989689052,-0.000354793,1.012815245,0.015620749,-9.13E-05, 0.000135724315298364
48,2.361727836,1.0086115599,0.994688511,-0.000222968,1.00516638,0.015100248,-6.30E-05, 5.8478047124929655e-05
49,2.547774705,0.9648000598,0.948938131,-0.000235679,0.967626518,0.017202433,8.52E-05, 1.8692008049498642e-05
50,2.357934847,1.010114193,0.986891866,-0.000430522,1.021361113,0.016822174,-0.000363331, 0.00012963919687538616
51,2.365487985,0.9074107409000001,1.006540895,9.71E-05,1.01644427,0.017304406,-0.000106892, 0.010950560391233032
52,2.505149978,1.0171462297,0.999868155,-0.000395253,1.010742411,0.016404947,-0.000165101, 0.00012385135668455818
